id,name,created_at,updated_at
1,シャネル,2018-02-01 00:00:00,2018-02-01 00:00:00
2,ナイキ,2018-02-01 00:00:00,2018-02-01 00:00:00
3,シュプリーム,2018-02-01 00:00:00,2018-02-01 00:00:00
4,アディダス,2018-02-01 00:00:00,2018-02-01 00:00:00
5,アシュレイ,2018-02-01 00:00:00,2018-02-01 00:00:00
6,ジューム,2018-02-01 00:00:00,2018-02-01 00:00:00
7,テトリス,2018-02-01 00:00:00,2018-02-01 00:00:00
8,サントリー,2018-02-01 00:00:00,2018-02-01 00:00:00
9,ニューバランス,2018-02-01 00:00:00,2018-02-01 00:00:00
10,ユニクロ,2018-02-01 00:00:00,2018-02-01 00:00:00
11,ソニー,2018-02-01 00:00:00,2018-02-01 00:00:00
12,H&M,2018-02-01 00:00:00,2018-02-01 00:00:00
13,エーザイ,2018-02-01 00:00:00,2018-02-01 00:00:00
14,エダー,2018-02-01 00:00:00,2018-02-01 00:00:00
15,エウアンテ,2018-02-01 00:00:00,2018-02-01 00:00:00
16,GAP,2018-02-01 00:00:00,2018-02-01 00:00:00
17,アフウシ,2018-02-01 00:00:00,2018-02-01 00:00:00
18,木更津,2018-02-01 00:00:00,2018-02-01 00:00:00
19,ジュラキュア,2018-02-01 00:00:00,2018-02-01 00:00:00
20,クォーター,2018-02-01 00:00:00,2018-02-01 00:00:00
