id,name,created_at,updated_at,ancestry
119,Tシャツ/カットソー(半袖/袖なし),2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
120,Tシャツ/カットソー(七分/長袖),2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
121,シャツ/ブラウス(半袖/袖なし),2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
122,シャツ/ブラウス(七分/長袖),2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
123,ポロシャツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
124,キャミソール,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
125,タンクトップ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
126,ホルターネック,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
127,ニット/セーター,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
128,チュニック,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
129,カーディガン/ボレロ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
130,アンサンブル,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
131,ベスト/ジレ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
132,パーカー,2018-02-01 00:00:00,2018-02-01 00:00:00,1/11
137,テーラードジャケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
138,ノーカラージャケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
139,Gジャン/デニムジャケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
140,レザージャケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
141,ダウンジャケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
142,ライダースジャケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
143,ミリタリージャケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
144,ダウンベスト,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
145,ジャンパー/ブルゾン,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
146,ポンチョ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
149,ロングコート,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
150,トレンチコート,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
151,ダッフルコート,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
152,ピーコート,2018-02-01 00:00:00,2018-02-01 00:00:00,1/12
156,デニム/ジーンズ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
157,ショートパンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
158,カジュアルパンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
159,ハーフパンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
160,チノパン,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
161,ワークパンツ/カーゴパンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
162,クロップドパンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
163,サロペット/オーバーオール,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
164,オールインワン,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
165,サルエルパンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
1128,ガウチョパンツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
166,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,1/13
167,ミニスカート,2018-02-01 00:00:00,2018-02-01 00:00:00,1/14
168,ひざ丈スカート,2018-02-01 00:00:00,2018-02-01 00:00:00,1/14
169,ロングスカート,2018-02-01 00:00:00,2018-02-01 00:00:00,1/14
170,キュロット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/14
171,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,1/14
172,ミニワンピース,2018-02-01 00:00:00,2018-02-01 00:00:00,1/15
173,ひざ丈ワンピース,2018-02-01 00:00:00,2018-02-01 00:00:00,1/15
174,ロングワンピース,2018-02-01 00:00:00,2018-02-01 00:00:00,1/15
175,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,1/15
176,ハイヒール/パンプス,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
177,ブーツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
178,サンダル,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
179,スニーカー,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
180,ミュール,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
181,モカシン,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
182,ローファー/革靴,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
183,フラットシューズ/バレエシューズ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
184,長靴/レインシューズ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
185,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,1/16
186,パジャマ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/17
190,ルームウェア,2018-02-01 00:00:00,2018-02-01 00:00:00,1/17
196,ソックス,2018-02-01 00:00:00,2018-02-01 00:00:00,1/18
197,スパッツ/レギンス,2018-02-01 00:00:00,2018-02-01 00:00:00,1/18
198,ストッキング/タイツ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/18
199,レッグウォーマー,2018-02-01 00:00:00,2018-02-01 00:00:00,1/18
200,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,1/18
201,ニットキャップ/ビーニー,2018-02-01 00:00:00,2018-02-01 00:00:00,1/19
202,ハット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/19
203,ハンチング/ベレー帽,2018-02-01 00:00:00,2018-02-01 00:00:00,1/19
204,キャップ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/19
205,キャスケット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/19
206,麦わら帽子,2018-02-01 00:00:00,2018-02-01 00:00:00,1/19
207,その他,2018-02-01 00:00:00,2018-02-01 00:00:00,1/19
208,ハンドバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
209,トートバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
210,エコバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
211,リュック/バックパック,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
212,ボストンバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
213,スポーツバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
214,ショルダーバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
215,クラッチバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
216,ポーチ/バニティ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
217,ボディバッグ/ウェストバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
218,マザーズバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
219,メッセンジャーバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
220,ビジネスバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
221,旅行用バッグ/キャリーバッグ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/20
226,ネックレス,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
227,ブレスレット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
228,バングル/リストバンド,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
229,リング,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
230,ピアス(片耳用),2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
231,ピアス(両耳用),2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
232,イヤリング,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
233,アンクレット,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
234,ブローチ/コサージュ,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
235,チャーム,2018-02-01 00:00:00,2018-02-01 00:00:00,1/21
